City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Bengkulu,ID,78.64,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
1,Honiara,SB,78.06,broken clouds,-9.4333,159.95,Heritage Park Hotel
2,Cape Town,ZA,73.09,broken clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
4,Victoria,HK,77.32,light rain,22.2855,114.1577,Mini Hotel Central
8,Hermanus,ZA,70.9,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
13,Meulaboh,ID,77.81,overcast clouds,4.1363,96.1285,Kost Pria
16,Faanui,PF,78.24,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
21,Mahebourg,MU,75.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
23,Touros,BR,86.9,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
25,Christiana,ZA,81.73,clear sky,-27.914,25.1611,At-Neli Guesthouse
26,Bacolod,PH,78.37,overcast clouds,10.6667,122.95,Planta Hotel & Residences
32,Khiri Mat,TH,77.09,moderate rain,16.8333,99.8,ปั้นดินรีสอร์ท สุโขทัย
33,Rikitea,PF,74.03,moderate rain,-23.1203,-134.9692,People ThankYou
36,Atuona,PF,79.83,overcast clouds,-9.8,-139.0333,Villa Enata
40,Ponta Do Sol,PT,78.71,scattered clouds,32.6667,-17.1,Hotel do Campo
48,Hithadhoo,MV,81.73,overcast clouds,-0.6,73.0833,Scoop Guest House
53,Ahome,MX,71.55,clear sky,25.9167,-109.1833,LA HOUSE DE LA ALEJANDRA
55,Salinopolis,BR,80.65,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
58,Bolobo,CD,82.13,light rain,-2.1667,16.2333,Hotel de Stephen
61,Cabrero,CL,73.71,overcast clouds,-37.0333,-72.4,Hotel San Martin
63,Nishihara,JP,72.68,few clouds,26.1842,127.7558,Minshuku Agaihama
64,Avarua,CK,73.45,light rain,-21.2078,-159.775,Paradise Inn
66,Banjar,ID,82.26,moderate rain,-8.19,114.9675,The Hamsa Resort
69,Dingle,PH,75.94,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
71,Cayenne,GF,89.64,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
72,Huesca,ES,71.8,light rain,42.1362,-0.4087,Hotel Sancho Abarca SPA Huesca
74,Ambilobe,MG,75.97,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
77,Bindura,ZW,86.4,broken clouds,-17.3019,31.3306,Mayfair Lodges and Restaurant
79,Kuah,MY,81.81,overcast clouds,6.3265,99.8432,Azio Hotel
81,Bambous Virieux,MU,75.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
87,Cockburn Town,TC,82.4,clear sky,21.4612,-71.1419,Osprey Beach Hotel
89,Mount Isa,AU,82.17,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
96,Poum,NC,74.64,clear sky,-20.2333,164.0167,Gîte kajeon
97,Ratnagiri,IN,80.71,overcast clouds,16.9833,73.3,Hotel Landmark
103,Auki,SB,76.78,broken clouds,-8.7676,160.7034,Auki Motel
104,Ixtapa,MX,79.23,clear sky,20.7,-105.2,Hotel Plaza Providencia
106,Cap Malheureux,MU,75.47,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
108,Vila Velha,BR,75.15,overcast clouds,-20.3297,-40.2925,Quality Suites Vila Velha
109,Belmonte,BR,81.1,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
110,Mahibadhoo,MV,83.59,clear sky,3.7833,72.9667,Omadhoo Inn
111,Puerto Ayora,EC,73.36,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
112,Port Elizabeth,ZA,84.09,clear sky,-33.918,25.5701,39 On Nile Guest House
114,Vao,NC,70.74,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
115,Kahului,US,70.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
118,Cabo San Lucas,MX,76.14,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
122,Hilo,US,80.28,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
124,Bac Lieu,VN,80.49,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
127,Sabang,ID,81.19,light rain,5.8933,95.3214,Hotel Citra
129,Camacupa,AO,79.86,overcast clouds,-12.0167,17.4833,seviremde seni
130,West Bay,KY,84.27,broken clouds,19.3667,-81.4167,Calypso Cove
134,Cidreira,BR,72.48,few clouds,-30.1811,-50.2056,Hotel Castelo
139,Bathsheba,BB,86.61,few clouds,13.2167,-59.5167,Atlantis Hotel
140,Mabaruma,GY,86.49,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
141,Kloulklubed,PW,82.58,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
143,Calvia,ES,76.91,broken clouds,39.5657,2.5062,Castell Son Claret
146,Port Alfred,ZA,71.29,broken clouds,-33.5906,26.891,The Halyards Hotel
150,Champerico,GT,87.28,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
153,Port Hedland,AU,73.45,broken clouds,-20.3167,118.5667,The Esplanade Hotel
156,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
157,Sinnamary,GF,83.55,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
159,Mazatlan,MX,82.02,clear sky,23.2167,-106.4167,Hotel Playamar
161,Nanakuli,US,71.71,clear sky,21.3906,-158.1547,Camp Pālehua
162,San Patricio,US,81.01,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
166,Arraial Do Cabo,BR,73.36,moderate rain,-22.9661,-42.0278,Pousada Porto Praia
169,Kambia,SL,87.12,light rain,9.1167,-12.9167,Kambia Africana Village Hotel
178,Butaritari,KI,81.27,light rain,3.0707,172.7902,Isles Sunset Lodge
179,Marsh Harbour,BS,77.77,clear sky,26.5412,-77.0636,Abaco Beach Resort
180,Axim,GH,83.07,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
183,Lakatoro,VU,77.49,few clouds,-16.0999,167.4164,Lakatoro Palm Lodge
185,Caravelas,BR,80.87,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
189,Namibe,AO,73.49,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
191,Umm Lajj,SA,84.51,overcast clouds,25.0213,37.2685,Moon light Furnished Units
194,Omboue,GA,76.59,light rain,-1.5746,9.2618,Hotel Olako
195,Arrifes,PT,73.24,mist,37.7667,-25.7,Hotel Ponta Delgada
196,Sabha,LY,81.54,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
197,Benguela,AO,77.77,light rain,-12.5763,13.4055,Hotel Praia Morena
201,Sorong,ID,80.56,overcast clouds,-0.8833,131.25,waigo splash hotel
203,Acapulco,MX,78.62,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
207,Sambava,MG,76.15,light rain,-14.2667,50.1667,Melrose
208,Bundaberg,AU,70.21,broken clouds,-24.85,152.35,Takalvan Motel
209,Abu Kamal,SY,78.55,overcast clouds,34.4506,40.9171,محطة التلفاز
211,Junnar,IN,74.37,light rain,19.2,73.8833,Hotel Anand
212,Sao Joao Da Barra,BR,77.09,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
214,Hambantota,LK,80.35,scattered clouds,6.1241,81.1185,Bungalow 63
221,Guaruja,BR,80.17,light rain,-23.9931,-46.2564,Charme Hotel Guarujá
222,Bertoua,CM,81.23,broken clouds,4.5833,13.6833,Hotel De Paris
225,Juba,SS,87.31,broken clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
227,Lorengau,PG,80.64,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
228,Bima,ID,79.56,overcast clouds,-8.4667,118.7167,Lambitu Hotel
233,Inhambane,MZ,74.03,light rain,-23.865,35.3833,Oceano
235,Yeppoon,AU,71.38,broken clouds,-23.1333,150.7333,Villa Mar Colina
236,Itarema,BR,87.26,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
239,Kavieng,PG,83.28,light rain,-2.5744,150.7967,Nusa Island Retreat
240,Pa Sang,TH,80.8,broken clouds,18.5262,98.9394,โรงแรม จามจุรี 99
248,Kasempa,ZM,86.09,overcast clouds,-13.4584,25.8338,Lolelunga Forest Reserve
258,Vega De Alatorre,MX,77.45,clear sky,20.0333,-96.6333,El Polo Norte
260,Makakilo City,US,70.29,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
