City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bengkulu,ID,-3.8004,102.2655,78.64,85,100,3.13,light rain
1,Honiara,SB,-9.4333,159.95,78.06,87,59,5.79,broken clouds
2,Cape Town,ZA,-33.9258,18.4232,73.09,49,81,9.26,broken clouds
3,Teloloapan,MX,18.35,-99.85,63.66,84,61,0.96,broken clouds
4,Victoria,HK,22.2855,114.1577,77.32,78,97,1.01,light rain
5,Tuatapere,NZ,-46.1333,167.6833,39.58,87,46,4.68,scattered clouds
6,Jinchang,CN,38.4953,102.1739,41.76,42,59,1.59,broken clouds
7,Punta Arenas,CL,-53.15,-70.9167,48.31,57,0,12.66,clear sky
8,Hermanus,ZA,-34.4187,19.2345,70.9,85,100,10.31,overcast clouds
9,Airai,TL,-8.9266,125.4092,62.22,89,93,1.28,overcast clouds
10,Atasu,KZ,48.6814,71.6433,40.23,79,100,11.14,light rain
11,Castro,BR,-24.7911,-50.0119,61.83,92,100,9.1,overcast clouds
12,Albany,US,42.6001,-73.9662,58.17,89,100,1.01,overcast clouds
13,Meulaboh,ID,4.1363,96.1285,77.81,86,100,2.3,overcast clouds
14,Chapais,CA,49.7834,-74.8492,42.58,96,100,5.95,overcast clouds
15,Lasa,IT,46.6166,10.7002,52.54,97,100,4.43,overcast clouds
16,Faanui,PF,-16.4833,-151.75,78.24,67,100,14.9,overcast clouds
17,Coquimbo,CL,-29.9533,-71.3436,58.73,82,90,6.91,overcast clouds
18,Mar Del Plata,AR,-38.0023,-57.5575,59.09,80,90,1.01,light rain
19,Hualmay,PE,-11.0964,-77.6139,69.31,69,21,8.5,few clouds
20,Nikolskoye,RU,59.7035,30.7861,48.02,83,60,8.03,broken clouds
21,Mahebourg,MU,-20.4081,57.7,75.25,72,33,5.99,scattered clouds
22,Yumen,CN,40.2833,97.2,44.67,34,100,10.27,overcast clouds
23,Touros,BR,-5.1989,-35.4608,86.9,60,36,15.73,scattered clouds
24,Saldanha,ZA,-33.0117,17.9442,64.67,78,95,11.32,overcast clouds
25,Christiana,ZA,-27.914,25.1611,81.73,15,0,3.27,clear sky
26,Bacolod,PH,10.6667,122.95,78.37,82,100,9.71,overcast clouds
27,Ushuaia,AR,-54.8,-68.3,51.46,54,0,0.0,clear sky
