City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Saint-Louis,SN,2021-10-29 03:27:18,16.3333,-15.0,85.08,36,100,8.77
1,Upata,VE,2021-10-29 03:27:19,8.0086,-62.3989,71.26,95,100,3.02
2,Tefe,BR,2021-10-29 03:27:19,-3.3542,-64.7114,72.14,98,7,1.68
3,Jamestown,US,2021-10-29 03:27:19,42.097,-79.2353,56.52,78,75,10.0
4,Hobart,AU,2021-10-29 03:23:50,-42.8794,147.3294,46.26,92,75,5.99
5,Kapaa,US,2021-10-29 03:24:26,22.0752,-159.319,80.58,92,75,12.66
6,Albany,US,2021-10-29 03:27:20,42.6001,-73.9662,44.38,92,32,1.66
7,Oarai,JP,2021-10-29 03:27:21,36.3167,140.6,66.54,43,96,15.59
8,Punta Arenas,CL,2021-10-29 03:27:21,-53.15,-70.9167,50.11,76,75,11.5
9,Ambilobe,MG,2021-10-29 03:27:21,-13.2,49.05,73.69,88,22,1.45
10,Beringovskiy,RU,2021-10-29 03:27:22,63.05,179.3167,7.65,77,22,4.54
11,Ushuaia,AR,2021-10-29 03:27:22,-54.8,-68.3,55.06,50,40,5.75
12,Busselton,AU,2021-10-29 03:27:23,-33.65,115.3333,62.04,51,54,7.4
13,Margate,GB,2021-10-29 03:27:23,51.3813,1.3862,59.31,80,73,4.0
14,Samarai,PG,2021-10-29 03:27:23,-10.6167,150.6667,84.9,74,11,11.3
15,Kavieng,PG,2021-10-29 03:27:24,-2.5744,150.7967,84.47,73,93,6.29
16,Imeni Poliny Osipenko,RU,2021-10-29 03:27:24,52.4201,136.4853,41.97,61,11,9.28
17,Charters Towers,AU,2021-10-29 03:27:25,-20.1,146.2667,88.88,33,65,6.44
18,Puerto Ayora,EC,2021-10-29 03:27:25,-0.7393,-90.3518,67.55,96,92,5.01
19,Airai,TL,2021-10-29 03:27:25,-8.9266,125.4092,80.67,40,91,2.28
20,Qiongshan,CN,2021-10-29 03:27:26,20.0058,110.3542,82.38,74,75,13.42
21,Atuona,PF,2021-10-29 03:27:26,-9.8,-139.0333,78.42,68,6,16.33
22,Barrow,US,2021-10-29 03:27:27,71.2906,-156.7887,12.22,92,90,11.5
23,Lebu,CL,2021-10-29 03:27:27,-37.6167,-73.65,52.27,87,32,15.28
24,Wanning,CN,2021-10-29 03:25:46,18.8003,110.3967,77.74,88,99,11.1
25,Faanui,PF,2021-10-29 03:27:28,-16.4833,-151.75,77.58,85,93,16.96
26,Hermanus,ZA,2021-10-29 03:27:28,-34.4187,19.2345,59.9,83,4,7.92
27,Aripuana,BR,2021-10-29 03:27:28,-9.1667,-60.6333,72.81,97,84,1.25
28,Te Anau,NZ,2021-10-29 03:27:29,-45.4167,167.7167,66.7,50,5,2.59
29,Portland,US,2021-10-29 03:23:58,45.5234,-122.6762,67.6,84,90,3.0
30,Hithadhoo,MV,2021-10-29 03:27:29,-0.6,73.0833,83.14,74,100,13.53
31,Belle Glade,US,2021-10-29 03:27:30,26.6845,-80.6676,82.42,85,95,13.33
32,Rikitea,PF,2021-10-29 03:27:30,-23.1203,-134.9692,75.58,80,55,16.75
